Phase;Time registered;Left hand gain;Start position X (m);Start position Y (m);Start position Z (m);Right hand gain;Start position X (m);Start position Y(m);Start position Z (m);Target selection mode;Wall angle (°);Wall height (m);Wall radius (m);Wall vertical position (m)
Start;08-12-25 15:42:34.029;1.000;-0.238;0.743;0.288;0.550;0.179;0.747;0.334;Weighted;75.000;0.800;0.700;1.000
Quit;08-12-25 15:43:34.271;1.000;-0.238;0.743;0.288;0.550;0.179;0.747;0.334;Weighted;75.000;0.800;0.700;1.000
